event_time,down_time,pressure,major_axis,minor_axis,size,user
3110387500,3110387200,0.49411768,6.9949403,6.9949403,0.07,0
3110387500,3110387500,0.49803925,7.9942174,7.9942174,0.08,0
3110387700,3110387500,0.49411768,7.9942174,7.9942174,0.08,0
3110387700,3110387500,0.4901961,6.9949403,6.9949403,0.07,0
3110387700,3110387500,0.4901961,6.9949403,6.9949403,0.07,0
3110387700,3110387700,0.49803925,6.9949403,6.9949403,0.07,0
3110388000,3110387700,0.49411768,5.995663,5.995663,0.06,0
3110388000,3110387700,0.49411768,5.995663,5.995663,0.06,0
3110388000,3110388000,0.48235297,5.995663,5.995663,0.06,0
3110388000,3110388000,0.47450984,4.996386,4.996386,0.049999997,0
3110388000,3110388000,0.47450984,4.996386,4.996386,0.049999997,0
3110388200,3110388200,0.46274513,4.996386,4.996386,0.049999997,0
3110388200,3110388200,0.45882356,3.9971087,3.9971087,0.04,0
3110388200,3110388200,0.45882356,3.9971087,3.9971087,0.04,0
